Days,Days,du,airport,gabtoli,gulshan,jatrabari,mdpur,mirpur10,motijhil,old dhaka,tejgoan,,,,,,,,,,,,,,,
Sat,36,333.5416667,175.2291667,303.0421053,307.8315789,381.5052632,403.2083333,398.59375,404.1979167,513.0833333,461.2708333,,,,,,,,,,,,,,,
Sun,37,326.7604167,175.65625,306.0631579,305.2631579,385.1894737,400.78125,258.9166667,399.7083333,509.9166667,454.46875,,,,,,,,,,,,,,,
Mon,38,313.0520833,176.1875,308.3894737,308.6,387.9473684,402.7916667,390.1458333,402.6041667,509.1875,452.75,,,,,,,,,,,,,,,
Tue,39,336.28125,177.5104167,307.2947368,309.2421053,385.5789474,403.7083333,261.3854167,403.8958333,514.7395833,456.2708333,,,,,,,,,,,,,,,
Wed,40,323.28125,165.4166667,305.7263158,309.5789474,388.3052632,399.875,397.09375,396.4166667,515.2708333,457.6041667,,,,,,,,,,,,,,,
Thu,41,294.9479167,175.34375,304.7578947,302.0842105,392.2842105,367.1041667,259.3645833,366.4270833,461.4479167,399.9375,,,,,,,,,,,,,,,
Fri,42,326.09375,176.3958333,294.1368421,295.0736842,369.6631579,389.59375,390.9375,386.2604167,492.40625,429.3541667,,,,,,,,,,,,,,,
Sat,43,333.5416667,175.2291667,303.3578947,304.7578947,381.4315789,403.1770833,256,406.1666667,513.0416667,459.8020833,,,,,,,,,,,,,,,
Sun,44,325.0729167,175.65625,305.4947368,306.9157895,386.0315789,400.7604167,398.8958333,399.7083333,509.9166667,452.7291667,,,,,,,,,,,,,,,
Mon,45,311.625,175.65625,308.0210526,307.5263158,387.7473684,402.5208333,264.25,400.78125,509.1875,454.625,,,,,,,,,,,,,,,
Tue,46,334.3125,176.9895833,307.3473684,309.3578947,385.7473684,403.8854167,400.125,402.0729167,514.7395833,456.2708333,,,,,,,,,,,,,,,
Wed,47,323.28125,165.1458333,305.2315789,309.1684211,386,399.875,260.0833333,398.2395833,515.2708333,456,,,,,,,,,,,,,,,
Thu,48,295.65625,175.3645833,306.4947368,305.7052632,396.4526316,367.3020833,400.6770833,366.4270833,461.4479167,399.9375,,,,,,,,,,,,,,,
Fri,49,326.09375,175.9583333,292.2947368,293.2947368,366.9789474,389.6458333,264.1979167,384.6458333,492.40625,429.3541667,,,,,,,,,,,,,,,
Sat,50,331.71875,174.6666667,303.4842105,303.8105263,380.2421053,403.1875,398.59375,410.9791667,513.0833333,459.8020833,,,,,,,,,,,,,,,
Sun,51,326.7604167,175.8958333,304.9789474,306.1052632,386.7578947,400.8958333,258.9166667,486,509.9166667,454.46875,,,,,,,,,,,,,,,
Mon,52,311.6666667,176.3854167,308.1578947,308.3684211,386.2105263,402.5208333,390.1458333,486,509.1875,454.625,,,,,,,,,,,,,,,
Tue,53,334.3125,177.4375,307.6526316,307.6947368,385.9789474,403.8958333,260.375,486,514.7395833,458.1041667,,,,,,,,,,,,,,,
Wed,54,323.28125,164.8854167,305.4842105,309.1368421,386.1894737,399.8541667,397.09375,486,515.2708333,457.6041667,,,,,,,,,,,,,,,
Thu,55,295.65625,175.4270833,308.0210526,309.4,400.2736842,367.2604167,259.9895833,486,461.4479167,399.9375,,,,,,,,,,,,,,,
Fri,56,324.4895833,175.78125,291,292.0315789,364.1368421,389.7291667,390.9375,486,492.40625,429.3541667,,,,,,,,,,,,,,,
Sat,57,333.5416667,175.1666667,304.1368421,302.4210526,380.8736842,403.1770833,256,486,513.0833333,459.8020833,,,,,,,,,,,,,,,
Sun,58,326.8125,175.3333333,304.9789474,307.4421053,387.6315789,400.8645833,398.8958333,486,509.9166667,454.4479167,,,,,,,,,,,,,,,
Mon,59,312.9166667,175.4479167,309.1684211,306.5368421,389.9789474,403.90625,264.46875,399.2916667,510.46875,352.7604167,,,,,,,,,,,,,,,
Tue,60,334.6145833,176.8541667,308.5578947,308.2421053,409.3263158,404.1666667,400.125,402.0729167,514.7395833,352.4270833,,,,,,,,,,,,,,,
Wed,61,322.0520833,165.46875,306.0210526,309.9368421,408.7157895,400.78125,261.2395833,396.4166667,515.2708333,352.9375,,,,,,,,,,,,,,,
Thu,62,295.3020833,175.59375,309.2,313.5157895,422.9052632,368.3020833,400.6770833,367.2083333,461.4479167,309.5104167,,,,,,,,,,,,,,,
Fri,63,324.875,176.1666667,291.2,291.8736842,386.0105263,390.3125,264.1979167,384.8958333,492.40625,331.7291667,,,,,,,,,,,,,,,
Sat,64,332.0520833,174.7395833,302.7894737,298.3578947,404.0105263,403.7291667,398.59375,406.1666667,513.0833333,355.78125,,,,,,,,,,,,,,,
Sun,65,325.4583333,175.0729167,304.9578947,308.4631579,404.9157895,401.2291667,258.9166667,399.7083333,509.9166667,352.0104167,,,,,,,,,,,,,,,
Mon,66,311.78125,175.9583333,308.6,308.5473684,407.5368421,403.0520833,390.1458333,400.78125,509.1875,353.15625,,,,,,,,,,,,,,,
Tue,67,334.6145833,176.8541667,308.9052632,308.9473684,408.0526316,404.1458333,261.3854167,403.8958333,514.7395833,351.8854167,,,,,,,,,,,,,,,
Wed,68,322.0520833,165.46875,306.4526316,309.5894737,409.8631579,400.8125,397.09375,398.2395833,515.2708333,352.875,,,,,,,,,,,,,,,
Thu,69,295.3020833,175.59375,310.6210526,315.5894737,422.0631579,368.3125,260.6354167,367.2083333,461.4479167,308.9583333,,,,,,,,,,,,,,,
Fri,70,324.875,176.1666667,292.4,291.8947368,387.6315789,390.28125,390.9375,384.8958333,492.40625,331.5208333,,,,,,,,,,,,,,,
Sat,71,332.0520833,174.7395833,302.0105263,297.6526316,404.5052632,403.7395833,256.7291667,406.1666667,513.0833333,354.7395833,,,,,,,,,,,,,,,
Sun,72,325.46875,175.6041667,305.2631579,308.9684211,406.2526316,401.2395833,398.8958333,399.7083333,510.15625,350.4583333,,,,,,,,,,,,,,,
Mon,73,311.78125,175.9583333,309.2947368,308.5473684,407.2842105,403.2291667,265.5208333,400.78125,509.1145833,352.75,,,,,,,,,,,,,,,
Tue,74,334.6145833,176.8541667,309.5789474,311.1263158,408.9052632,404.3854167,400.125,403.8958333,516.6354167,351.7083333,,,,,,,,,,,,,,,
Wed,75,322.0520833,165.15625,307.0421053,311.0315789,410.6947368,400.3645833,261.2395833,396.4166667,515.28125,352.5833333,,,,,,,,,,,,,,,
Thu,76,295.3020833,175.0729167,310.9368421,316.8842105,421.6736842,368.15625,400.6770833,366.4270833,461.3958333,309.1875,,,,,,,,,,,,,,,
Fri,77,324.875,175.7916667,293.4421053,293.3368421,389.0947368,390.2395833,265.25,386.2604167,494.28125,331.40625,,,,,,,,,,,,,,,
Sat,78,332.0520833,174.2395833,303.1157895,299.4421053,405.6421053,403.8958333,398.59375,412.28125,513.0833333,354.4791667,,,,,,,,,,,,,,,
Sun,79,325.46875,175.5104167,306.1263158,310.5368421,406.7052632,401.21875,259.5625,496,509.9166667,350.4791667,,,,,,,,,,,,,,,
Mon,80,311.78125,175.4895833,308.3157895,308.8736842,406.0947368,403.21875,390.1458333,496,509.1875,352.15625,,,,,,,,,,,,,,,
Tue,81,334.6145833,177.21875,310.8315789,310.4421053,409.9052632,404.40625,260.375,496,514.6458333,351.9479167,,,,,,,,,,,,,,,
Wed,82,322.0520833,165.0520833,308.3052632,309.5368421,411.6,400.3645833,397.09375,496,515.2708333,352.6979167,,,,,,,,,,,,,,,
Thu,83,295.3020833,175.0729167,309.9052632,315.4736842,420.2526316,368.1770833,260.6354167,496,461.4479167,309.6875,,,,,,,,,,,,,,,
Fri,84,324.875,175.625,293.9578947,293.8421053,390.4,390.28125,390.9375,496,492.3854167,330.78125,,,,,,,,,,,,,,,
Sat,85,332.0520833,174.1875,304.3368421,300,406.2526316,403.875,256.7291667,496,513.0520833,355.0625,,,,,,,,,,,,,,,
Sun,86,325.46875,175.2395833,305.5578947,309.3578947,407.2315789,401.21875,398.8958333,496,509.9166667,351.1458333,,,,,,,,,,,,,,,
